[2],"b'The #IoT flips garbage in, garbage out https://t.co/ryGFTXDFEH \xe2\x80\xa6 #InternetOfThings #IndustrialIoT #Industry40 #AI\xe2\x80\xa6 https://t.co/uzSJmm72Yk'"
[2],"b""#Bitcoin \xe2\x80\x95 Bitcoin's plunge in volume stirs questions about its future https://t.co/zZW8TQ1w5Z \xf0\x9f\x93\x88 Exchange the World\xe2\x80\xa6 https://t.co/kCVfu1mMRX"""
[2],"b""#Bitcoin \xe2\x80\x95 Bitcoin's plunge in volume stirs questions about its future https://t.co/JC3ZnnTrSe \xf0\x9f\x93\x88 Exchange the World\xe2\x80\xa6 https://t.co/5VMUjgi6Q1"""
[2],b'#Bitcoin \xe2\x80\x95 Bitcoin breaks through $11000 but then falls back https://t.co/XsqTLtcW7M \xf0\x9f\x93\x88 Exchange the World via https://t.co/SD5LzN3TGo'
[2],b'#Bitcoin \xe2\x80\x95 Bitcoin breaks through $11000 but then falls back https://t.co/49CeJvl63B \xf0\x9f\x93\x88 Exchange the World via https://t.co/rlzM1RPyMa'
[2],b'Demistifying the complexity of Branding Online -&gt; https://t.co/DkidNFysUH #InspiredToLiveFree @WorkWithNiko\xe2\x80\xa6 https://t.co/9q7qUSZJWz'
[1],b'RT @Crypticsup: Cryptocurrency forecast for 03.03.2018\n\nhttps://t.co/DchMq23Ozc\n\n#Cryptics #crowdsale #bitcoin  #ico  #Cryptocurrencies #cr\xe2\x80\xa6'
[1],b'RT @BitraceToken: \xf0\x9f\x94\xa5BITRACE Pre-ICO LIVE NOW !!\xf0\x9f\x94\xa5\nBUY BITRACE TOKEN &amp; GET 20% BONUS \xf0\x9f\xa4\x91:\nhttps://t.co/EiGMzZAZ6v\n\n#bitrace #bitcoin #cryptocurr\xe2\x80\xa6'
[0],b'Georgia Lawmakers Propose Tax Amendment That Allows Bitcoin Payments https://t.co/MiMxzHC0AY \n#newsoftheweek\xe2\x80\xa6 https://t.co/usrusTwY1m'
[1],b'RT @adryenn: Planes crash into one another midair. Nuclear power plants go bers https://t.co/7QJ5eK2IAc #Cybersecurity #Bitcoin by #CyberDo\xe2\x80\xa6'
[2],b'Crypto Investing Pro Review #cryptocurrency #investing #bitcoin #ethereum =&gt; https://t.co/eXCw3XeGUV'
[2],b'Crypto Investing Pro Review #cryptocurrency #investing #bitcoin #ethereum =&gt; https://t.co/uQMPEWkTbs'
[2],b'https://t.co/wyuhcvqh1g|SOHU IS ICO SOLUTION AGENCY.\n\xf0\x9f\x92\x9d\xf0\x9f\x92\x9d\xf0\x9f\x92\x9d#Airdrop Now!!\nUse my referral link:https://t.co/spJB2kAJeb\xe2\x80\xa6 https://t.co/1Vjb7EZXr5'
[2],b'Come to join a good project\nPumpkin Pay \xe2\x80\x94is now giving free airdrop!!\nFollow @PumpkinPayTeam  get 100 PPKC first an\xe2\x80\xa6 https://t.co/GdormeIc5f'
[2],b'Great news for @gifcoin_io #platform investors! They are now accepting #Bitcoin #BTC and #LiteCoin #LTC as payment\xe2\x80\xa6 https://t.co/dtEVIkyycg'
[2],b'Crypto Investing Pro Review #cryptocurrency #investing #bitcoin #ethereum =&gt; https://t.co/u5FlYu3Yv3'
